Site ID,IP Address,Serial Number,Audio 1 L,Audio 1 L Service,Audio 1 R,Audio 1 R Service,Audio 2,Audio 2 Service,Audio 3,Audio 3 Service,Audio 4 L,Audio 4 L Service,Audio 4 R,Audio 4 R Service,Site Name,District,State
8021,10.49.32.172,34401621824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Newcastle Waters RT,Darwin,NT
8023,10.49.27.46,34401598105,2802,1057 ABC Darwin,2801,ABC RN,2800,Classic FM,2805,triple j,2001,ABC News,2900,ABC EMG1,Pine Creek RT,Darwin,NT
2029,10.66.130.237,34401616633,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Deniliquin,Melbourne,NSW
2058,10.49.7.141,34401625349,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Littleton,Canberra,NSW
2072,10.66.142.174,34401599934,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Gray RT,Canberra,NSW
2083,10.66.146.236,34394087503,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Endicotts Hill,Newcastle,NSW
2096,10.66.145.42,34402273911,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Rossgole Lookout,Newcastle,NSW
2123,10.12.21.20,34401628252,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Soma Mountain,Newcastle,NSW
2133,10.49.12.77,34401612797,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Little Duval Upper RT,Newcastle,NSW
2260,10.66.145.72,34401615114,2205,702 ABC Sydney,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Penang,Newcastle,NSW
2303,10.49.21.107,34401603350,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Table Top Mountain,Brisbane,NSW
3050,10.66.148.47,34401614709,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Tower Hill,Melbourne,VIC
3053,10.49.26.207,34401622000,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Warrion Hill,Melbourne,VIC
3059,10.49.8.170,34401619504,2001,ABC News,2301,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Taylor,Melbourne,VIC
4318,10.66.148.235,34401622279,2406,ABC Toowoo,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Eastmans Ridge,South Queensland,QLD
4319,10.66.137.201,34401614104,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Kynoch,South Queensland,QLD
6006,10.49.30.111,34402077292,2604,ABC Broome,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Broome MF,Darwin,WA
6034,10.49.11.9,34401622026,2602,ABC Karr,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Karratha,Perth,WA
6057,10.66.136.72,34401625439,2602,ABC Karr,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Mt Latham RT,Perth,WA
7020,10.49.13.13,34402274362,2702,ABC Laun,2701,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Round Hill RT,Tasmania,TAS
8017,10.49.11.171,34401628080,2802,1057 ABC Darwin,2801,ABC RN,2800,Classic FM,2805,triple j,2001,ABC News,2900,ABC EMG1,Katherine RT,Darwin,NT
2130,10.66.151.105,34401623920,328,SBS 1 Syd Radio,328,SBS 1 Syd Radio,329,SBS 2 Syd Radio,329,SBS 2 Syd Radio,NO SELECTION,NA,NO SELECTION,NA,Windang Peninsula MF,Canberra,NSW
2147,10.49.24.108,34401606216,NA,NA,NA,NA,NO SELECTION,NA,NO SELECTION,NA,NA,NA,NA,NA,Hexham MF,Newcastle,NSW
4094,10.11.25.20,34403230736,NA,NA,NA,NA,NO SELECTION,NA,NO SELECTION,NA,NA,NA,NA,NA,Mt Coot-Tha,Brisbane,QLD
5018,10.65.174.23,34403230190,NA,NA,NA,NA,NO SELECTION,NA,NO SELECTION,NA,NA,NA,NA,NA,Mt Lofty,Adelaide,SA
6003,10.15.19.23,34403217716,NA,NA,NA,NA,NO SELECTION,NA,NO SELECTION,NA,NA,NA,NA,NA,Bickley,Perth,WA
7016,10.65.180.23,34403233450,NA,NA,NA,NA,NO SELECTION,NA,NO SELECTION,NA,NA,NA,NA,NA,Mt Wellington,Tasmania,TAS
8032,10.14.203.23,34403220577,NA,NA,NA,NA,2300 (NOT PRESENT),NA,NO SELECTION,NA,NA,NA,NA,NA,Deloraine Road,Darwin,NT
2040,10.12.16.75,34412795688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gore Hill,Canberra,NSW
4056,10.49.26.236,34402076364,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Gracemere MF,South Queensland,QLD
4094,10.11.25.80,34401608928,2407,612 ABC Brisbane,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Coot-Tha,Brisbane,QLD
4144,10.66.135.172,34401615987,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Yarrawonga RT,North Queensland,QLD
5018,10.65.174.20,34401622165,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Mt Lofty,Adelaide,SA
7019,10.65.190.20,34401622946,2702,ABC Laun,2701,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Ralphs Bay MF,Tasmania,TAS
2008,10.15.200.21,34401621580,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Black Mountain Tower,Canberra,ACT
2046,10.49.33.47,34401623998,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Ivanhoe RT,Melbourne,NSW
2052,10.12.20.21,34401626601,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Knights Hill,Canberra,NSW
2064,10.12.18.75,34401621839,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Middle Brother,Newcastle,NSW
2066,10.49.47.75,34401618709,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Bingar,Melbourne,NSW
2067,10.12.17.21,34401611715,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Canobolas,Newcastle,NSW
2068,10.12.22.83,34401628651,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Cenn Cruaich,Newcastle,NSW
2069,10.12.23.77,34401627337,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Dowe,Newcastle,NSW
2075,10.12.19.21,34401628170,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Moombil,Newcastle,NSW
2076,10.12.25.21,34401612944,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Nardi,Brisbane,NSW
2079,10.12.31.56,34401598311,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Sugarloaf,Newcastle,NSW
2082,10.12.50.91,34401616992,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Wandera,Canberra,NSW
2095,10.49.1.44,34401622242,2506,891 ABC Adelaide,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Rocky Hill,Adelaide,NSW
2132,10.66.138.139,34401623600,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Willans Hill,Canberra,NSW
3001,10.66.136.107,34401628857,2407,612 ABC Brisbane,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Apex Lookout,Melbourne,VIC
3008,10.66.128.16,34401623793,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Dooen MF,Melbourne,VIC
3013,10.13.16.74,34401625636,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Goschen,Melbourne,VIC
3017,10.13.22.21,34401607376,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Lookout Hill,Melbourne,VIC
3020,10.49.5.205,34401605992,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mallacoota RT,Melbourne,VIC
3026,10.13.23.21,34401623306,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Alexander,Melbourne,VIC
3028,10.13.24.84,34401617811,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Baranduda,Melbourne,VIC
3029,10.49.33.143,34401619179,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Clay,Melbourne,VIC
3031,10.13.17.21,34401618600,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Dundas,Melbourne,VIC
3035,10.13.21.21,34401629439,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Major,Melbourne,VIC
3038,10.13.25.81,34402084741,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Tassie,Melbourne,VIC
3057,10.13.50.21,34401598343,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Yatpool,Melbourne,VIC
4000,10.66.144.140,34401625400,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Alpha,South Queensland,QLD
4006,10.65.42.80,34401620594,2407,612 ABC Brisbane,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Bald Hills MF,Brisbane,QLD
4014,10.66.149.178,34401626034,2407,612 ABC Brisbane,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Black Mountain RT,Brisbane,QLD
4023,10.66.150.141,34401629362,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Buchan Point RT,North Queensland,QLD
4026,10.49.6.206,34401610396,2404,ABC Mt Isa,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Camooweal RT,North Queensland,QLD
4036,10.49.34.145,34401609712,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Cooktown,North Queensland,QLD
4039,10.49.43.236,34401625660,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Croydon,North Queensland,QLD
4046,10.49.17.14,34402275312,2407,612 ABC Brisbane,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Dulong Lookout,Brisbane,QLD
4051,10.66.146.78,34401625351,2406,ABC Toowoo,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Emerald Downs RT,South Queensland,QLD
4053,10.49.42.239,34401613656,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Georgetown,North Queensland,QLD
4062,10.49.42.207,34401610206,2404,ABC Mt Isa,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Hospital Hill,North Queensland,QLD
4070,10.49.8.201,34401611651,2404,ABC Mt Isa,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Karumba,North Queensland,QLD
4071,10.49.43.204,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laura RT,North Queensland,QLD
4074,10.65.202.13,34402089574,2407,612 ABC Brisbane,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Lower Beechmont,Brisbane,QLD
4086,10.49.5.111,34401602572,2406,ABC Toowoo,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mitchell Escarpment,South Queensland,QLD
4091,10.11.22.37,34401604823,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Bellenden-Ker,North Queensland,QLD
4093,10.11.23.21,34402082818,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Blackwood,North Queensland,QLD
4097,10.11.21.37,34401615163,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Goonaneman,South Queensland,QLD
4100,10.49.29.79,34401620447,2404,ABC Mt Isa,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,DCA Hill,North Queensland,QLD
4104,10.11.19.37,34401613482,2406,ABC Toowoo,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Mowbullan,South Queensland,QLD
4105,10.49.12.112,34401625321,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Myrtle RT,North Queensland,QLD
4107,10.11.50.21,34401627360,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Stuart,North Queensland,QLD
4114,10.11.18.37,34401600533,2406,ABC Toowoo,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Passchendaele Ridge,South Queensland,QLD
4115,10.49.43.140,34401622926,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Pentland RT,North Queensland,QLD
4125,10.66.150.206,34401605464,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Round Hill,South Queensland,QLD
4127,10.66.139.77,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shingle Beach Hill,North Queensland,QLD
4176,10.49.17.169,34401612107,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Glenden,North Queensland,QLD
4218,10.49.17.137,34395845715,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Lakeland RT,North Queensland,QLD
5004,10.49.21.46,34401615278,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Borthwick Hill RT,Adelaide,SA
5006,10.49.9.16,34401626536,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Coober Pedy RT,Adelaide,SA
5012,10.49.23.110,34401616571,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Leigh Creek MF,Adelaide,SA
5013,10.65.170.21,34401618459,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Loxton,Adelaide,SA
5015,10.14.17.21,34401622093,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Mt Burr,Adelaide,SA
5024,10.66.129.172,34401616836,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Roxby Downs RT,Adelaide,SA
5025,10.49.22.14,34402275211,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Streaky Bay MF,Adelaide,SA
5027,10.14.18.21,34401628087,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,The Bluff,Adelaide,SA
6007,10.49.34.46,34401624063,2602,ABC Karr,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Brown Range,Perth,WA
6008,10.49.47.9,34401628367,2606,ABC Bunbury,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Yallingup MF,Perth,WA
6015,10.49.46.172,34402087358,2608,ABC Gerald,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Dalwallinu MF,Perth,WA
6028,10.65.98.20,34402273467,2607,720 ABC Perth,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Hamersley MF,Perth,WA
6031,10.49.2.111,34401628886,2608,ABC Gerald,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Kalbarri,Perth,WA
6047,10.49.0.238,34401621059,2603,ABC Kalgoo,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Mawson Trig,Perth,WA
6052,10.66.144.177,34401598241,2603,ABC Kalgoo,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Moresby Range,Perth,WA
6054,10.65.158.22,34401624316,2603,ABC Kalgoo,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Mt Barker,Perth,WA
6058,10.15.17.24,34401619712,2602,ABC Karr,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Mt Lennard,Perth,WA
6078,10.49.14.45,34401609394,2603,ABC Kalgoo,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Peters Hill,Perth,WA
6089,10.66.128.135,34401602216,2606,ABC Bunbury,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Minding MF,Perth,WA
7007,10.66.137.80,34401613929,2702,ABC Laun,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Kelcey Tier,Tasmania,TAS
7012,10.13.200.21,34401611041,2702,ABC Laun,2701,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Barrow,Tasmania,TAS
7016,10.65.180.21,34401616059,2702,ABC Laun,2701,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Wellington,Tasmania,TAS
8001,10.65.166.203,34401623432,2803,ABC Alice,2801,ABC RN,2800,Classic FM,2805,triple j,2001,ABC News,2900,ABC EMG1,Alice Springs MF,Darwin,NT
8011,10.49.38.239,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galiwinku,Darwin,NT
8032,10.14.203.20,34401607188,2802,1057 ABC Darwin,2801,ABC RN,2800,Classic FM,2805,triple j,2001,ABC News,2900,ABC EMG1,Deloraine Road,Darwin,NT
8034,10.66.136.201,34401604550,2802,1057 ABC Darwin,2801,ABC RN,2800,Classic FM,2805,triple j,2001,ABC News,2900,ABC EMG1,West Gap,Darwin,NT
2040,10.12.16.20,34401621615,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Gore Hill,Canberra,NSW
2040,10.12.16.36,34401613940,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Gore Hill,Canberra,NSW
4098,10.11.16.37,34401617444,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Hopeful,South Queensland,QLD
6065,10.49.22.176,34401625236,2602,ABC Karr,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Narrogin RT,Perth,WA
2020,10.65.90.20,34401609330,2205,702 ABC Sydney,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Gungahlin MF,Canberra,ACT
8008,10.65.154.21,34401609865,2802,1057 ABC Darwin,2801,ABC RN,2800,Classic FM,2805,triple j,2001,ABC News,2900,ABC EMG1,Ludmilla Terrace MF,Darwin,NT
2023,10.49.41.208,34401613595,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Condobolin,Newcastle,NSW
2032,10.49.39.172,34401610965,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,The Gap Range,Brisbane,NSW
2034,10.66.135.110,34401611789,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Carpenters Hill,Brisbane,NSW
2042,10.49.20.44,34401615305,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Goulburn MF,Canberra,NSW
2044,10.49.9.236,34401614996,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Hay,Melbourne,NSW
2047,10.49.37.208,34403225251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jerilderie,Melbourne,NSW
2049,10.49.41.49,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mt Cumbermelon,Newcastle,NSW
2063,10.49.28.208,34402276026,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Merriwa,Newcastle,NSW
2073,10.66.151.145,34401615912,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Helen RT,Newcastle,NSW
2077,10.49.6.111,34401626581,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Oxley RT,Newcastle,NSW
2111,10.49.21.204,34394098180,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Clive Blakes Hill,Newcastle,NSW
2114,10.49.27.204,34401619444,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Wilcannia MF,Adelaide,NSW
2149,10.66.150.172,34401623818,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Balranald Exchange RT,Melbourne,NSW
3032,10.66.133.85,34401615478,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Elliot,Melbourne,VIC
3033,10.49.27.142,34401613486,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Lawloit RT,Melbourne,VIC
3034,10.49.40.236,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mt Livingstone,Melbourne,VIC
3036,10.49.6.241,34401626986,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Raymond RT,Melbourne,VIC
3048,10.66.146.16,34401625826,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,The Paps,Melbourne,VIC
3052,10.49.33.76,34402281561,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Wangaratta MF,Melbourne,VIC
3080,10.49.9.204,34401600864,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Hopetoun,Melbourne,VIC
